,0
0,32940.0
0,31480.5
0,29871.36
0,28112.47
0,26203.72
0,24145.0
0,21936.19
0,19577.19
0,17067.88
0,14408.15
0,11597.9
0,8637.0
0,5525.35
0,2262.85
0,-1150.63
0,-4715.2
0,-8430.96
0,-12298.03
0,-16316.51
0,-20486.52
0,-24808.17
